name,value,pretty_value,boot_val,unit,context,vartype,min_val,max_val,enumvals
vacuum_cost_delay,0,"",0,ms,user,real,0,100,""
vacuum_cost_limit,200,"",200,"",user,integer,1,10000,""
vacuum_cost_page_dirty,20,"",20,"",user,integer,0,10000,""
vacuum_cost_page_hit,1,"",1,"",user,integer,0,10000,""
vacuum_cost_page_miss,2,"",2,"",user,integer,0,10000,""
vacuum_failsafe_age,1600000000,"",1600000000,"",user,integer,0,2100000000,""
vacuum_freeze_min_age,50000000,"",50000000,"",user,integer,0,1000000000,""
vacuum_freeze_table_age,150000000,"",150000000,"",user,integer,0,2000000000,""
vacuum_max_eager_freeze_failure_rate,0.03,"",0.03,"",user,real,0,1,""
vacuum_multixact_failsafe_age,1600000000,"",1600000000,"",user,integer,0,2100000000,""
vacuum_multixact_freeze_min_age,5000000,"",5000000,"",user,integer,0,1000000000,""
vacuum_multixact_freeze_table_age,150000000,"",150000000,"",user,integer,0,2000000000,""
vacuum_truncate,on,"",on,"",user,bool,,,""
wal_block_size,8192,"",8192,"",internal,integer,8192,8192,""
wal_buffers,512,"",-1,8kB,postmaster,integer,-1,262143,""
wal_compression,off,"",off,"",superuser,enum,,,"{pglz,lz4,zstd,on,off}"
wal_consistency_checking,"","","","",superuser,string,,,""
wal_decode_buffer_size,524288,"",524288,B,postmaster,integer,65536,1073741823,""
wal_init_zero,on,"",on,"",superuser,bool,,,""
wal_keep_size,0,"",0,MB,sighup,integer,0,2147483647,""
wal_level,replica,"",replica,"",postmaster,enum,,,"{minimal,replica,logical}"
wal_log_hints,off,"",off,"",postmaster,bool,,,""
wal_receiver_create_temp_slot,off,"",off,"",sighup,bool,,,""
wal_receiver_status_interval,10,"",10,s,sighup,integer,0,2147483,""
wal_receiver_timeout,60000,"",60000,ms,sighup,integer,0,2147483647,""
wal_recycle,on,"",on,"",superuser,bool,,,""
wal_retrieve_retry_interval,5000,"",5000,ms,sighup,integer,1,2147483647,""
wal_segment_size,16777216,"",16777216,B,internal,integer,1048576,1073741824,""
wal_sender_timeout,60000,"",60000,ms,user,integer,0,2147483647,""
wal_skip_threshold,2048,"",2048,kB,user,integer,0,2147483647,""
wal_summary_keep_time,14400,"",14400,min,sighup,integer,0,35791394,""
wal_sync_method,fdatasync,"",fdatasync,"",sighup,enum,,,"{fsync,fdatasync,open_sync,open_datasync}"
wal_writer_delay,200,"",200,ms,sighup,integer,1,10000,""
wal_writer_flush_after,128,"",128,8kB,sighup,integer,0,2147483647,""
work_mem,4096,"",4096,kB,user,integer,64,2147483647,""
xmlbinary,base64,"",base64,"",user,enum,,,"{base64,hex}"
xmloption,content,"",content,"",user,enum,,,"{content,document}"
zero_damaged_pages,off,"",off,"",superuser,bool,,,""
